ProductID,BrandName,Category,sub_category,Segment,Price ,Size_Options,Ratings,Reviews,Description
10150521,SASSAFRAS,Western,jackets,Women,12.25,5,3.9,452,sassafras women navy blue solid quilted jacket with detachable hood
10138703,Libas,Western,dresses,Women,3.91,3,4.2,452,libas women black  white solid maxi dress with ethnic jacket
10148407,Tokyo Talkies,Western,track-pants,Women,7.65,5,4.2,452,tokyo talkies women green solid slim fit track pants
10151463,Roadster,Bottom Wear,jeans,Men,6.26,5,3.8,451,roadster men black regular fit carrot mid rise clean look  lycra fiber jeans
10138281,Mast & Harbour,Bottom Wear,jeans,Men,3.89,5,4,451,mast  harbour men blue skinny fit solid mid rise stretchable jeans
10138767,ether,Bottom Wear,jeans,Men,4.07,4,3.7,451,ether men black skinny fit mid rise clean look stretchable jeans
10138541,Maniac,Topwear,tshirts,Men,4.69,7,4.1,451,maniac men red  black checked round neck pure cotton t shirt
10152035,WROGN,Topwear,shirts,Men,14.62,6,4.4,451,wrogn men navy blue  grey slim fit printed casual shirt
10147861,Campus Sutra,Topwear,tshirts,Men,4.69,5,3.9,451,campus sutra men grey dyed henley neck pure cotton t shirt
10148737,KALINI,Indian Wear,kurtas,Women,12.81,6,4.2,451,kalini women pink  ruby ethnic motifs printed flared sleeves floral anarkali kurta
10148141,Libas,Indian Wear,kurta-sets,Women,5.32,5,4,451,libas women navy blue solid kurta with palazzos  dupatta
10136107,Zivame,Lingerie & Sleep Wear,camisoles,Women,4.38,4,4.5,451,zivame women beige solid kurta slip camisole zi60afcore0skin
10139561,PrettyCat,Lingerie & Sleep Wear,bra,Women,4.87,4,3.8,451,prettycat black printed underwired lightly padded push up bra pc br 5120
10137885,StyleStone,Sports Wear,track-pants,Women,6.28,4,4.2,451,stylestone women grey solid track pants
10138227,Tokyo Talkies,Western,track-pants,Women,8.87,5,4.2,451,tokyo talkies women green regular fit solid track pants
10138967,Berrylush,Western,dresses,Women,3.75,5,4.2,451,berrylush women yellow  white printed a line dress
10137473,DressBerry,Western,dresses,Women,2.72,3,4.3,451,dressberry women chic rust solid sundress
10137603,Antheaa,Western,dresses,Women,5.84,5,4.4,451,antheaa blue self design a line tiered dress with ruffles  puff sleeves
10150713,Roadster,Western,tshirts,Women,8.77,5,4.3,451,the roadster lifestyle co women teal blue solid v neck pure cotton t shirt
10150395,her by invictus,Western,tops,Women,8.77,5,4.4,451,her by invictus women black  white printed shirt style top
10148169,Roadster,Western,tshirts,Women,5.01,5,4.2,451,roadster women white solid round neck pure cotton t shirt
10143977,WROGN,Bottom Wear,jeans,Men,4.51,5,4,450,wrogn men blue slim fit mid rise clean look stretchable jeans
10145777,Roadster,Bottom Wear,jeans,Men,3.53,5,3.7,450,roadster men grey slim tapered fit mid rise clean look stretchable jeans
10147139,Roadster,Bottom Wear,jeans,Men,3.29,5,3.8,450,roadster men blue skinny fit mid rise low distress stretchable jeans
10138881,U.S. Polo Assn.,Inner Wear &  Sleep Wear,lounge-tshirts,Men,4.07,3,4.3,450,us polo assn men black solid round neck athleisure t shirt
10148787,U.S. Polo Assn.,Inner Wear &  Sleep Wear,lounge-tshirts,Men,13.36,5,4.3,450,us polo assn men pack of 2 black solid round neck athleisure lounge t shirt
10147483,Roadster,Topwear,shirts,Men,4.73,5,4.2,450,roadster men sea green regular solid band collar arctic linen cotton sustainable casual shirt
10149129,Roadster,Topwear,shirts,Men,16.01,5,4.4,450,roadster men grey  black regular fit printed sustainable casual shirt
10148275,Floret,Lingerie & Sleep Wear,camisoles,Women,8.45,5,4.3,450,floret pack of 3 camisoles 2473
10150373,Enamor,Lingerie & Sleep Wear,bra,Women,8.77,5,4.4,450,enamor pink print non wired lightly padded medium coverage everyday tshirt bra a039
10145683,HERE&NOW,Plus Size,jeans,Women,7.74,5,4,450,herenow women black regular fit mid rise clean look stretchable cropped jogger jeans
10139791,Sangria,Plus Size,kurta-sets,Women,3.57,5,4,450,sangria women teal blue  white printed kurta with palazzos
10138859,Roadster,Western,tshirts,Women,3.61,5,4.3,450,roadster women pack of 2 solid round neck cropped pure cotton t shirts
10151673,Roadster,Western,jeggings,Women,7.83,6,4.4,450,roadster women blue super skinny fit washed treggings
10148807,SASSAFRAS,Western,tops,Women,11.2,5,4.4,450,sassafras women maroon printed crop top
10136759,Roadster,Western,sweatshirts,Women,3.96,5,4.1,450,roadster women white solid sweatshirt
10150553,Athena,Western,dresses,Women,8.77,5,4.5,450,athena stylish black ruffled tulle dress
10136073,High Star,Western,jeans,Women,4.69,4,4.2,450,high star women blue slim fit high rise clean look stretchable jeans
10136581,DressBerry,Western,tops,Women,10.44,5,4.4,450,dressberry rust brown ribbed cropped top
10138355,H&M,Bottom Wear,shorts,Men,3.91,4,4.5,449,hm men grey solid regular fit sweatshirt shorts
10147997,Roadster,Bottom Wear,jeans,Men,5.32,5,3.8,449,roadster men blue skinny fit mid rise mildly distressed stretchable jeans
10138019,Roadster,Bottom Wear,jeans,Men,7.83,5,4.1,449,roadster men blue skinny fit mid rise acid wash low distress stretchable jeans
10139553,House of Pataudi,Indian Wear,kurtas,Men,5.91,4,4.4,449,house of pataudi men pink authentic hand embroidered chikankari kurta
10147811,INVICTUS,Topwear,tshirts,Men,4.69,5,4.2,449,invictus white polo pure cotton t shirt
10137363,Roadster,Topwear,tshirts,Men,15.84,5,4.3,449,roadster men black  mustard yellow striped polo collar t shirt
10152151,W,Indian Wear,kurtas,Women,6.4,5,3.8,449,w women coral pink  blue printed panelled straight kurta
10138927,Sangria,Indian Wear,dresses,Women,5.01,5,4.4,449,sangria sea green  white ethnic motifs embroidered pure cotton maxi a line dress
10143905,DressBerry,Lingerie & Sleep Wear,night-suits,Women,4.51,5,4.5,449,dressberry women black conversational sleep staple night suit
10139793,Tokyo Talkies,Western,trousers,Women,3.57,5,4.1,449,tokyo talkies women navy blue  white regular fit striped trousers
